"time";"therm";"temperature";"humidity";"pressure"
;;;;
12:38:05.801;27286;170297;37731;100925
;;;;
12:38:05.976;27270;170297;378573;100924
;;;;
12:38:06.167;27350;170297;37753;100926
;;;;
12:38:06.343;27270;170348;377584;100925
;;;;
12:38:06.544;27254;170297;381811;100924
;;;;
12:38:06.736;27302;170246;378518;100927
;;;;
12:38:06.925;27302;170195;375663;100926
;;;;
12:38:07.117;27254;170195;377529;100926
;;;;
12:38:07.309;27318;170195;376981;100928
;;;;
12:38:07.500;27302;170195;378133;100924
;;;;
12:38:07.691;27302;170094;378463;100925
;;;;
12:38:07.883;27286;170043;377145;100927
;;;;
12:38:08.068;27334;170094;379451;100927
;;;;
12:38:08.255;27318;170043;380329;100924
;;;;
12:38:08.442;27318;170094;377365;100929
;;;;
12:38:08.629;27270;169992;380329;100924
;;;;
12:38:08.800;27254;170043;378353;100927
;;;;
12:38:09.003;27334;169891;377145;100926
;;;;
12:38:09.190;27302;170043;376816;100926
;;;;
12:38:09.379;27302;169941;379286;100928
;;;;
12:38:09.566;27286;169992;375609;100926
;;;;
12:38:09.753;27286;169891;380384;100925
;;;;
12:38:09.942;27334;169891;380164;100926
;;;;
12:38:10.136;27302;169891;381317;100925
;;;;
12:38:10.324;27302;169891;379615;100925
;;;;
12:38:10.498;27286;169789;376267;100927
;;;;
12:38:10.707;27302;169738;380439;100927
;;;;
12:38:10.897;27334;169738;379395;100929
;;;;
12:38:11.073;27302;169688;378353;100928
;;;;
12:38:11.258;27414;169738;380054;100928
;;;;
12:38:11.449;27334;169738;379341;100929
;;;;
12:38:11.638;27318;169688;379505;100927
;;;;
12:38:11.826;27254;169688;379286;100927
;;;;
12:38:12.023;27302;169637;378902;100928
;;;;
12:38:12.213;27350;169586;379231;100929
;;;;
12:38:12.387;27334;169484;380658;100929
;;;;
12:38:12.594;27318;169586;380878;100926
;;;;
12:38:12.768;27318;169535;380;100929
;;;;
12:38:12.957;27318;169586;377365;10093
;;;;
12:38:13.156;27334;169586;381481;10093
;;;;
12:38:13.349;27350;169484;379835;100931
;;;;
12:38:13.541;27366;169434;381097;100927
;;;;
12:38:13.730;27350;169383;37742;100928
;;;;
12:38:13.920;27302;169484;376542;100928
;;;;
12:38:14.107;27446;169383;37956;100929
;;;;
12:38:14.296;27318;169383;379395;100927
;;;;
12:38:14.483;27318;169383;37967;100926
;;;;
12:38:14.671;27270;169332;378023;100925
;;;;
12:38:14.858;27366;169332;378353;100926
;;;;
12:38:15.046;27366;169281;379121;100925
;;;;
12:38:15.232;27430;169281;380877;100929
;;;;
12:38:15.437;27414;169281;379011;100927
;;;;
12:38:15.624;27382;16923;37989;100925
;;;;
12:38:15.826;27334;16918;379231;100927
;;;;
12:38:15.991;27318;169129;379944;100925
;;;;
12:38:16.180;27334;169078;379066;100928
;;;;
12:38:16.371;27382;169129;377255;100924
;;;;
12:38:16.563;27318;169078;378956;100926
;;;;
12:38:16.738;27318;169027;375938;100924
;;;;
12:38:16.929;27318;169027;380219;100923
;;;;
12:38:17.120;27318;168977;377804;100915
;;;;
12:38:17.311;27238;169027;378682;100912
;;;;
12:38:17.503;27270;168824;380054;100906
;;;;
12:38:17.679;27142;168926;377969;10091
;;;;
12:38:17.886;27062;168875;380877;10091
;;;;
12:38:18.058;26966;168875;378408;100908
;;;;
12:38:18.243;26902;168824;37945;100905
;;;;
12:38:18.445;26790;168773;378682;100911
