packetnr,hk,lat,lon,alt,hh,mm,ss,nsat,p,H,T,ntc,bat,yaw,pitch,roll,rssi
1875,0,78.22277832,15.65243912,15.0,10,48,46,9,1006.88,36,20.38,1554,2509,-23,-3,20,-88
1876,0,78.22277832,15.65244293,14.9,10,48,47,9,1006.91,36,20.36,1556,2509,-23,-3,20,-88
1877,0,78.22277832,15.65244293,14.9,10,48,48,9,1006.91,36,20.33,1559,2509,-23,-3,20,-88
1878,0,78.22277832,15.65243912,14.9,10,48,49,9,1006.91,36,20.31,1561,2510,-23,-3,20,-88
1879,0,78.22277832,15.65243149,14.9,10,48,50,9,1006.89,36,20.28,1563,2509,-23,-3,20,-89
1880,0,78.22277832,15.65242767,14.9,10,48,51,9,1006.91,36,20.26,1564,2502,-23,-3,20,-89
1881,0,78.22277832,15.65242767,15.0,10,48,52,9,1006.88,36,20.23,1566,2510,-23,-3,20,-88
1882,0,78.22277832,15.65241241,14.9,10,48,53,9,1006.92,36,20.21,1569,2510,-23,-3,20,-87
1883,0,78.22277832,15.65240097,14.9,10,48,54,9,1006.92,36,20.18,1570,2510,-23,-3,20,-89
1884,0,78.22277832,15.65239334,14.8,10,48,55,9,1006.93,36,20.16,1572,2510,-23,-3,20,-88
1885,0,78.22277832,15.65239334,14.8,10,48,56,9,1006.92,36,20.13,1572,2510,-23,-3,20,-88
1886,0,78.22277832,15.65238571,14.8,10,48,57,9,1006.94,36,20.1,1572,2511,-23,-3,20,-87
1887,0,78.22277832,15.65237427,14.8,10,48,58,9,1006.92,36,20.07,1572,2506,-23,-3,20,-88
1888,0,78.22277832,15.65236282,14.8,10,48,59,9,1006.9,36,20.05,1573,2510,-23,-3,20,-87
1889,0,78.22277832,15.65234375,14.8,10,49,0,9,1006.9,36,20.03,1574,2509,-23,-3,20,-88
1890,0,78.22277832,15.65234756,14.8,10,49,1,9,1006.93,36,20.0,1574,2508,-23,-3,20,-88
1891,0,78.22277832,15.65234756,14.8,10,49,2,9,1006.91,36,19.98,1574,2510,-23,-3,20,-88
1892,0,78.22277832,15.65235138,14.9,10,49,3,9,1006.93,36,19.95,1573,2510,-23,-3,20,-88
1893,0,78.22277832,15.65234375,14.9,10,49,4,9,1006.92,36,19.93,1570,2510,-23,-3,20,-89
1894,0,78.22277832,15.65232849,14.9,10,49,5,9,1006.9,36,19.91,1570,2509,-23,-3,20,-88
1895,0,78.22277832,15.65230560,14.9,10,49,6,9,1006.9,36,19.87,1567,2511,-23,-3,20,-90
1896,0,78.22277832,15.65229416,14.9,10,49,7,9,1006.95,36,19.85,1566,2512,-23,-3,20,-91
1897,0,78.22277832,15.65229034,14.9,10,49,8,9,1006.94,37,19.82,1563,2511,-23,-3,20,-88
1898,0,78.22277832,15.65227127,15.0,10,49,9,9,1006.92,37,19.79,1561,2511,-23,-3,20,-91
1899,0,78.22277832,15.65228653,15.0,10,49,10,9,1006.92,37,19.76,1559,2509,-23,-3,20,-89
1900,0,78.22277832,15.65227127,15.0,10,49,11,9,1006.91,37,19.75,1558,2511,-23,-3,20,-89
1901,0,78.22277832,15.65227890,15.0,10,49,12,9,1006.96,37,19.72,1558,2512,-23,-3,20,-89
1902,0,78.22277832,15.65228271,15.1,10,49,13,9,1006.9,37,19.69,1558,2512,-23,-3,20,-89
1903,0,78.22277832,15.65229034,15.1,10,49,14,9,1006.93,37,19.68,1555,2512,-23,-3,20,-88
1904,0,78.22277832,15.65229034,15.2,10,49,15,9,1006.92,37,19.64,1550,2508,-23,-3,20,-90
1905,0,78.22277832,15.65227890,15.1,10,49,16,9,1006.92,37,19.62,1550,2510,-23,-3,20,-90
1906,0,78.22277832,15.65226364,15.1,10,49,17,9,1006.92,37,19.6,1547,2510,-23,-3,20,-91
1907,0,78.22277832,15.65226746,15.2,10,49,18,9,1006.93,37,19.57,1542,2509,-23,-3,20,-88
1908,0,78.22277832,15.65227127,15.2,10,49,19,9,1006.92,37,19.55,1539,2510,-23,-3,20,-89
1909,0,78.22277832,15.65226746,15.2,10,49,20,9,1006.92,37,19.53,1536,2511,-23,-3,20,-90
1910,0,78.22277832,15.65228653,15.3,10,49,21,9,1006.93,37,19.5,1536,2509,-23,-3,20,-89
1911,0,78.22277832,15.65229416,15.3,10,49,22,9,1006.93,37,19.47,1534,2511,-23,-3,20,-88
1912,0,78.22277832,15.65229034,15.3,10,49,23,8,1006.9,37,19.45,1532,2510,-23,-3,20,-89
1913,0,78.22277832,15.65229034,15.3,10,49,24,8,1006.89,37,19.42,1529,2513,-23,-3,20,-90
1914,0,78.22277832,15.65230179,15.3,10,49,25,9,1006.91,37,19.4,1529,2509,-23,-3,20,-91
1915,0,78.22277832,15.65230179,15.3,10,49,26,9,1006.94,37,19.38,1526,2509,-23,-3,20,-90
1916,0,78.22277832,15.65230179,15.3,10,49,27,9,1006.93,37,19.35,1524,2510,-23,-3,20,-90
1917,0,78.22277832,15.65230560,15.3,10,49,28,9,1006.92,37,19.33,1522,2511,-23,-3,20,-90
1918,0,78.22277832,15.65230179,15.3,10,49,29,9,1006.91,37,19.3,1520,2509,-23,-3,20,-89
1919,0,78.22277832,15.65229797,15.3,10,49,30,9,1006.93,37,19.28,1519,2511,-23,-3,20,-89
1920,0,78.22277832,15.65228271,15.2,10,49,31,9,1006.92,37,19.25,1517,2513,-23,-3,20,-90
1921,0,78.22277832,15.65229034,15.2,10,49,32,8,1006.93,37,19.23,1515,2511,-23,-3,20,-90
1922,0,78.22277832,15.65229416,15.3,10,49,33,9,1006.92,37,19.21,1511,2510,-23,-3,20,-87
1923,0,78.22277832,15.65227890,15.2,10,49,34,9,1006.88,37,19.18,1511,2510,-23,-3,20,-88
1924,0,78.22277832,15.65227509,15.3,10,49,35,9,1006.92,38,19.16,1509,2509,-23,-3,20,-88
1925,0,78.22277832,15.65227509,15.3,10,49,36,9,1006.89,38,19.13,1508,2510,-23,-3,20,-88
1926,0,78.22277832,15.65227127,15.3,10,49,37,9,1006.9,38,19.11,1508,2511,-23,-3,20,-89
1927,0,78.22277832,15.65227509,15.3,10,49,38,9,1006.89,38,19.08,1507,2508,-23,-3,20,-88
1928,0,78.22277832,15.65226364,15.3,10,49,39,9,1006.89,38,19.06,1505,2509,-23,-3,20,-88
1929,0,78.22277832,15.65225220,15.2,10,49,40,10,1006.9,38,19.04,1505,2515,-23,-3,20,-88
1930,0,78.22277832,15.65227127,15.3,10,49,41,10,1006.9,38,19.01,1504,2510,-23,-3,20,-90
1931,0,78.22277832,15.65226746,15.3,10,49,42,10,1006.9,38,18.99,1503,2511,-23,-3,20,-89
1932,0,78.22277832,15.65227127,15.3,10,49,43,10,1006.91,38,18.96,1503,2509,-23,-3,20,-89
1933,0,78.22277832,15.65229034,15.4,10,49,44,10,1006.89,38,18.94,1502,2511,-23,-3,20,-91
1934,0,78.22277832,15.65226746,15.3,10,49,45,10,1006.9,38,18.91,1503,2511,-23,-3,20,-93
1935,0,78.22277832,15.65231705,15.4,10,49,46,10,1006.93,38,18.89,1504,2511,-23,-3,20,-92
1936,0,78.22277832,15.65233612,15.5,10,49,47,10,1006.9,38,18.87,1503,2510,-23,-3,20,-92
1937,0,78.22277832,15.65233994,15.6,10,49,48,10,1006.91,38,18.84,1503,2512,-23,-3,20,-92
1938,0,78.22277832,15.65235138,15.6,10,49,49,10,1006.9,38,18.82,1503,2513,-23,-3,20,-93
1939,0,78.22277832,15.65237427,15.7,10,49,50,10,1006.9,38,18.79,1503,2518,-23,-3,20,-90
1940,0,78.22277832,15.65239334,15.7,10,49,51,10,1006.91,38,18.77,1503,2510,-23,-3,20,-91
1941,0,78.22277832,15.65239716,15.7,10,49,52,11,1006.89,38,18.75,1503,2509,-23,-3,20,-91
1942,0,78.22277832,15.65240097,15.7,10,49,53,10,1006.88,38,18.72,1501,2511,-23,-3,20,-91
1943,0,78.22277832,15.65240479,15.6,10,49,54,10,1006.87,38,18.7,1500,2511,-23,-3,20,-91
1944,0,78.22277832,15.65241623,15.7,10,49,55,9,1006.89,38,18.68,1501,2510,-23,-3,20,-91
1945,0,78.22280884,15.65243149,15.7,10,49,56,10,1006.9,38,18.65,1501,2510,-23,-3,20,-93
1946,0,78.22280884,15.65243149,15.7,10,49,57,9,1006.86,38,18.63,1501,2509,-23,-3,20,-92
1947,0,78.22280884,15.65242767,15.7,10,49,58,9,1006.85,38,18.61,1503,2511,-23,-3,20,-89
1948,0,78.22280884,15.65243149,15.7,10,49,59,10,1006.87,39,18.58,1507,2510,-23,-3,20,-89
1949,0,78.22280884,15.65243149,15.7,10,50,0,10,1006.85,39,18.55,1508,2510,-23,-3,20,-90
1950,0,78.22280884,15.65243530,15.7,10,50,1,9,1006.87,39,18.53,1512,2511,-23,-3,20,-90
1951,0,78.22280884,15.65243530,15.7,10,50,2,10,1006.85,39,18.5,1514,2509,-23,-3,20,-88
1952,0,78.22280884,15.65243149,15.6,10,50,3,9,1006.83,39,18.48,1517,2510,-23,-3,20,-88
1953,0,78.22277832,15.65241241,15.5,10,50,4,9,1006.84,39,18.46,1519,2509,-23,-3,20,-90
1954,0,78.22277832,15.65239716,15.6,10,50,5,10,1006.83,39,18.43,1523,2494,-23,-3,20,-92
1956,0,78.22280884,15.65242386,15.6,10,50,7,10,1006.83,39,18.39,1530,2509,-23,-3,20,-92
