packetnr,hk,lat,lon,alt,hh,mm,ss,nsat,p,H,T,ntc,bat,yaw,pitch,roll,rssi
2069,0,78.20239258,15.82898331,3.9,7,44,25,18,996.605,74,9.6,1397,2504,-69,7,-22,-66
2070,0,78.20239258,15.82897186,3.9,7,44,26,18,996.582,74,9.62,1398,2503,-72,1,-26,-60
2071,0,78.20239258,15.82895660,3.9,7,44,27,18,996.583,74,9.63,1400,2501,-60,9,-31,-65
2072,0,78.20239258,15.82894516,3.6,7,44,28,18,996.593,74,9.63,1402,2503,-53,2,-33,-65
2073,0,78.20239258,15.82892227,3.7,7,44,29,18,996.628,74,9.64,1402,2503,-25,0,-34,-60
2074,0,78.20239258,15.82890320,3.8,7,44,30,18,996.602,74,9.65,1403,2500,-47,-14,-31,-64
2075,0,78.20239258,15.82889175,3.8,7,44,31,18,996.569,73,9.66,1403,2503,-44,-21,-29,-70
2076,0,78.20239258,15.82888794,3.9,7,44,32,18,996.551,73,9.67,1403,2499,-104,-10,-42,-75
2077,0,78.20239258,15.82888031,3.9,7,44,33,18,996.589,73,9.67,1404,2503,98,-13,-54,-68
2078,0,78.20239258,15.82888794,4.0,7,44,34,18,996.56,73,9.69,1406,2500,31,-18,-45,-70
2079,0,78.20239258,15.82888794,3.9,7,44,35,18,996.547,73,9.7,1410,2500,19,-10,-54,-69
2080,0,78.20239258,15.82888412,3.5,7,44,36,18,996.559,73,9.71,1412,2500,35,-11,-52,-69
2081,0,78.20239258,15.82889938,3.4,7,44,37,18,996.585,73,9.72,1414,2502,127,1,-38,-73
2082,0,78.20236206,15.82892227,3.2,7,44,38,18,996.57,73,9.73,1415,2502,-113,2,-46,-74
2083,0,78.20236206,15.82894516,3.0,7,44,39,17,996.54,73,9.73,1417,2501,-116,-5,-53,-70
2084,0,78.20236206,15.82897949,2.8,7,44,40,18,996.554,73,9.74,1418,2502,-123,-3,-48,-69
2085,0,78.20236206,15.82902908,2.4,7,44,41,18,996.654,73,9.75,1420,2499,107,-9,-28,-70
2086,0,78.20236206,15.82907104,2.1,7,44,42,18,996.667,73,9.76,1420,2495,74,-19,-29,-72
